4x4 TOOLS AND FASTENERS,156,MINDS-i TOOL,419,1,0
4x4 TOOLS AND FASTENERS,156,#1 PHILLIPS SCREWDRIVER,2,1,1
4x4 TOOLS AND FASTENERS,156,7mm HEX DRIVER DYNAMITE,206,1,2
4x4 TOOLS AND FASTENERS,156,"1/4"" FLAT WRENCH",42,1,3
4x4 TOOLS AND FASTENERS,156,1.5mm Hex Key,39,1,4
4x4 TOOLS AND FASTENERS,156,1/16 SHORT ARM HEX KEY,40,1,5
4x4 TOOLS AND FASTENERS,156,3/32 HEX KEY,118,1,6
4x4 TOOLS AND FASTENERS,156,"CABLE TIE 8""",273,5,7
4x4 TOOLS AND FASTENERS,156,"CABLE TIE 4""",272,10,8
ELECTRIC CAR BAG 1: BEAMS,319,15-BEAM,60,2,9
ELECTRIC CAR BAG 1: BEAMS,319,11-BEAM,51,9,10
ELECTRIC CAR BAG 1: BEAMS,319,10-BEAM,47,2,11
ELECTRIC CAR BAG 1: BEAMS,319,8-BEAM,208,2,12
ELECTRIC CAR BAG 1: BEAMS,319,7-BEAM,198,7,13
ELECTRIC CAR BAG 1: BEAMS,319,6-BEAM,178,6,14
ELECTRIC CAR BAG 1: BEAMS,319,5-BEAM,162,3,15
ELECTRIC CAR BAG 1: BEAMS,319,4-BEAM,137,24,16
ELECTRIC CAR BAG 1: BEAMS,319,2-BEAM,68,4,17
4mm AXLE REAR HUB,146,REAR WHEEL HUB,485,2,18
4mm AXLE REAR HUB,146,12mm WHEEL NUT,55,3,19
4mm AXLE REAR HUB,146,6x12x4mm BEARING,183,4,20
4mm AXLE REAR HUB,146,M4 WHEEL END SHAFT,405,2,21
4mm AXLE REAR HUB,146,U-JOINT SET SCREW,551,3,22
4mm AXLE REAR HUB,146,M4 WASHER,404,3,23
4mm AXLE REAR HUB,146,M4-0.7 NYLOCK,407,3,24
4mm AXLE REAR HUB,146,2.5x10mm DOWEL PIN,78,3,25
4mm AXLE STEERING HUB,147,M4 WHEEL END SHAFT,405,2,26
4mm AXLE STEERING HUB,147,12mm WHEEL NUT,55,3,27
4mm AXLE STEERING HUB,147,M4-0.7 NYLOCK,407,3,28
4mm AXLE STEERING HUB,147,M4 WASHER,404,3,29
4mm AXLE STEERING HUB,147,U-JOINT SET SCREW,551,3,30
4mm AXLE STEERING HUB,147,2.5x10mm DOWEL PIN,78,3,31
4mm AXLE STEERING HUB,147,6x12x4mm BEARING,183,4,32
4mm AXLE STEERING HUB,147,FRONT WHEEL KNUCKLE,339,2,33
4mm AXLE STEERING HUB,147,FRONT WHEEL HUB,338,2,34
FOUNDATIONS LAB 4x4 (90 Hour),335,"CORRUGATED BOXES 26x18x16""",290,1,35
FOUNDATIONS LAB 4x4 (90 Hour),335,4x4,148,1,36
FOUNDATIONS LAB 4x4 (90 Hour),335,STORAGE BIN,521,4,37
FOUNDATIONS LAB 4x4 (90 Hour),335,TACHOMETER,528,1,38
FOUNDATIONS LAB 4x4 (90 Hour),335,FUNCTION DIGITAL MULTIMETER,340,1,39
FOUNDATIONS LAB 4x4 (90 Hour),335,HS-485HB SERVO (With Hardware),367,3,40
FOUNDATIONS LAB 4x4 (90 Hour),335,NIMH BATTERY,449,1,41
FOUNDATIONS LAB 4x4 (90 Hour),335,15LB TUBE SCALE,62,1,42
FOUNDATIONS LAB 4x4 (90 Hour),335,"1/16"" HEX DRIVER",41,1,43
FOUNDATIONS LAB 4x4 (90 Hour),335,"3/32"" HEX DRIVER",119,1,44
FOUNDATIONS LAB 4x4 (90 Hour),335,INERTIA PLUG,372,1,45
FOUNDATIONS LAB 4x4 (90 Hour),335,GEAR REDUCER,343,1,46
FOUNDATIONS LAB 4x4 (90 Hour),335,QTI - LF PCB ASSY,480,4,47
FOUNDATIONS LAB 4x4 (90 Hour),335,3 PIN CABLE FLAT - SEPERATE,98,4,48
FOUNDATIONS LAB 4x4 (90 Hour),335,SERVO LINKAGE,500,1,49
FOUNDATIONS LAB 4x4 (90 Hour),335,SCREW ADAPTER,496,1,50
FOUNDATIONS LAB 4x4 (90 Hour),335,ROTATING CONNECTORS,492,1,51
FOUNDATIONS LAB 4x4 (90 Hour),335,MINDS-i TOOL,419,2,52
FOUNDATIONS LAB 4x4 (90 Hour),335,250 PIECE,89,1,53
FOUNDATIONS LAB 4x4 (90 Hour),335,CATAPULT SUPPORT MATERIAL,279,1,54
FOUNDATIONS LAB 4x4 (90 Hour),335,ARDUINO UPGRADE,242,1,55
FOUNDATIONS LAB 4x4 (90 Hour),335,TGY-I6S RADIO CONTROLLER,539,1,56
4x4,148,CORRUGATED BOXES 18x12x6,288,1,57
4x4,148,4x4 WHEELS AND TIRES,157,1,58
4x4,148,320A BRUSHED ESC,131,1,59
4x4,148,NIMH BATTERY,449,1,60
4x4,148,LIPO / NIMH CHARGER,387,1,61
4x4,148,TAMIYA CHARGER ADAPTER,529,1,62
4x4,148,HS-485HB SERVO (With Hardware),367,1,63
4x4,148,4x4 BAG 1: BEAMS,150,1,64
4x4,148,4x4 BAG 2: BEAMS 2,151,1,65
4x4,148,4x4 BAG 3: CONNECTORS,152,1,66
4x4,148,4x4 ACCESSORIES,149,1,67
4x4,148,MOTOR GEARBOX,428,1,68
4x4,148,DIFFERENTIAL W/ SPOOL,301,2,69
4x4,148,4mm AXLE REAR HUB,146,1,70
4x4,148,4mm AXLE STEERING HUB,147,1,71
4x4,148,4x4 STEERING,155,1,72
4x4,148,4x4 DRIVELINE,153,1,73
4x4,148,SMALL 4-LINK BARS,512,1,74
4x4,148,MEDIUM 4-LINK BARS,415,1,75
4x4,148,90mm SHOCKS KIT,223,2,76
4x4,148,LEAF SPRINGS PAIR,386,2,77
