"ID","Name","Internal Reference","Responsible","Sales Price","Cost","Quantity On Hand","Forecasted Quantity","Unit of Measure","Activity Exception Decoration"
"__export__.product_template_79_1d2833ab","#1 PHILLIPS SCREWDRIVER","G305","Chris Lines","5.5","1.1","90.0","86.0","Units",""
"__export__.product_template_603_1ad02fec","#10 1/2"" Screw","","MINDS-i","1.0","0.0","500.0","500.0","Units",""
"__export__.product_template_605_cf0d334d","#10 Nylock","","MINDS-i","1.0","0.0","500.0","500.0","Units",""
"__export__.product_template_604_4ff0a9bb","#10 Washer","","MINDS-i","1.0","0.0","1000.0","1000.0","Units",""
"__export__.product_template_476_bfa64c9f","#10-24x5/16"" SCREW","N208","MINDS-i","1.0","0.18","1248.0","1248.0","Units",""
"__export__.product_template_157_72952347","#2 WASHER","G508","Tim Lines","0.4","0.07","2431.0","2431.0","Units",""
"__export__.product_template_152_88cf4582","#2-32 5/8"" SCREW","G607","Tim Lines","0.45","0.09","1105.0","1105.0","Units",""
"__export__.product_template_36_13d257fb","#4 WASHER","G507","Tim Lines","1.0","0.07","4642.0","4199.0","Units",""
"__export__.product_template_577_cadf2f8f","#4-4 1/4"" Washer","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_155_2aec1da3","#4-40 1"" SCREW","G602","Tim Lines","1.0","0.11","2355.0","2355.0","Units",""
"__export__.product_template_156_db4e8eac","#4-40 1-3/8"" SCREW","G601","Tim Lines","1.0","0.08","1762.0","1434.0","Units",""
"__export__.product_template_37_b3c922a8","#4-40 1/2"" SCREW","G605","Tim Lines","1.0","0.01","3791.0","3441.0","Units",""
"__export__.product_template_38_f24f1e38","#4-40 1/4"" NUT","G503","Tim Lines","1.0","0.02","6011.0","5791.0","Units",""
"__export__.product_template_368_6d072ee7","#4-40 3/4"" SCREW","G603","Tim Lines","1.0","0.06","1953.0","1645.0","Units","Alert"
"__export__.product_template_153_10a4c810","#4-40 3/8"" SCREW","G606","Tim Lines","0.25","0.04","2779.0","2629.0","Units",""
"__export__.product_template_154_e2720c0a","#4-40 5/8"" SCREW","G604","Tim Lines","1.0","0.0","3006.0","3006.0","Units",""
"__export__.product_template_225_d0d00908","#4-40 x 1"" THREAD ROD","G404","Tim Lines","0.23","0.05","5330.0","5316.0","Units",""
"__export__.product_template_226_a30e9784","#4-40 x 1-1/2"" THREAD ROD","G403","Tim Lines","0.32","0.06","3081.0","3081.0","Units",""
"__export__.product_template_227_f4de0b24","#4-40 x 2-3/4"" THREAD ROD","G402","Tim Lines","0.6","0.12","3525.0","3501.0","Units",""
"__export__.product_template_228_8bcdc220","#4-40 x 3-3/4"" THREAD ROD","G401","Tim Lines","0.75","0.15","3076.0","3052.0","Units",""
"__export__.product_template_224_7a00718f","#4-40 x 3/4"" THREAD ROD","G405","Tim Lines","1.0","0.0","832.0","828.0","Units",""
"__export__.product_template_326_f90b6724","0-DRIVELINE ASSEMBLY","","Tim Lines","14.0","2.67","-1.0","10.0","Units",""
"__export__.product_template_148_47386759","0.050"" ALLEN WRENCH","","Tim Lines","1.0","0.13","182.0","182.0","Units",""
"__export__.product_template_466_b0c32703","0.095"" ACRYLIC CLEAR SHEET","XX03","Chris Lines","1.0","0.0","13.0","13.0","Units",""
"__export__.product_template_467_5cf4b149","0.118"" ACRYLIC RED SHEET","","Chris Lines","1.0","0.0","0.0","-1.0","Units",""
"__export__.product_template_305_9728c1a7","0.4"" THREAD COLLAR","F506","Tim Lines","1.0","0.0","1605.0","1605.0","Units",""
"__export__.product_template_166_5197bdc0","0.75"" 3/8"" BOLT","G708","Tim Lines","1.0","0.0","273.0","193.0","Units",""
"__export__.product_template_631_738f5494","1 Year Course-Foundations+Drones Lab UGV+UAV (Duplicate Parts Eliminated) w180 Curriculum Hours","","MINDS-i","1.0","0.0","-2.0","-2.0","Units",""
"__export__.product_template_580_1ade8af6","1"" PVC Cross","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_587_1555b141","1"" PVC Elbow","","MINDS-i","1.0","0.0","8.0","8.0","Units",""
"__export__.product_template_606_d9d41985","1"" PVC T","","MINDS-i","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_532_cc196282","1-DRIVELINE FEMALE","","MINDS-i","0.18","0.18","115.0","127.0","Units",""
"__export__.product_template_531_33492d4c","1-DRIVELINE FEMALE ASSEMBLY","i701","MINDS-i","8.0","1.55","76.0","114.0","Units",""
"__export__.product_template_533_1702c8a6","1-DRIVELINE MALE","","MINDS-i","0.18","0.18","0.0","157.0","Units",""
"__export__.product_template_325_b0faf6a6","1-DRIVELINE MALE ASSEMBLY","i701","Tim Lines","8.0","1.55","82.0","97.0","Units",""
"__export__.product_template_306_fb3cb82f","1.2"" THREAD COLLAR","F507","Tim Lines","1.0","0.0","322.0","322.0","Units",""
"__export__.product_template_106_e49549a0","1.5-LOCK","H603","Tim Lines","0.4","0.08","14275.0","14275.0","Units",""
"__export__.product_template_18_4dc774ae","1.5-PIN","H403","Tim Lines","0.15","0.03","12193.0","11181.0","Units","Alert"
"__export__.product_template_161_9801f4ad","1.5mm Hex Key","G511","Tim Lines","0.77","0.15","584.0","580.0","Units",""
"__export__.product_template_150_b1f73b7e","1/16 SHORT ARM HEX KEY","G510","Tim Lines","0.7","0.14","1025.0","1021.0","Units",""
"__export__.product_template_169_27fe0d30","1/16"" HEX DRIVER","B304","Tim Lines","1.0","0.0","746.0","716.0","Units",""
"__export__.product_template_213_265d8384","1/4"" FLAT WRENCH","G303","Tim Lines","1.91","0.38","2241.0","2237.0","Units",""
"__export__.product_template_475_dbeefe56","1/4x3/8 10-24 TSL Z","N207","MINDS-i","1.0","0.54","1145.0","1145.0","Units",""
"__export__.product_template_270_0734f46c","10 TOOTH PINION GEAR","F303","Tim Lines","11.0","2.17","192.0","192.0","Units",""
"__export__.product_template_100_86e34a66","10-45 BEAM","i304","Tim Lines","1.0","0.22","253.0","163.0","Units",""
"__export__.product_template_363_054ff1b7","10-58 GEAR SET","A503","Tim Lines","98.0","19.52","38.0","6.0","Units",""
"__export__.product_template_7_f19334bf","10-BEAM","J405","Tim Lines","1.15","0.23","676.0","682.0","Units",""
"__export__.product_template_590_9ccd4c7a","100mm Linear Actuator","","MINDS-i","0.0","0.0","0.0","0.0","Units",""
"__export__.product_template_277_a53627a6","10x15x4mm BEARING","G302","Tim Lines","1.0","0.0","3084.0","3084.0","Units",""
"__export__.product_template_102_544e2c3b","11-45 BEAM","i305","Tim Lines","0.21","0.17","12343.0","12195.0","Units",""
"__export__.product_template_90_1d7e931d","11-BEAM","J301","Tim Lines","1.15","0.23","262.0","-155.0","Units",""
"__export__.product_template_268_8e88f3a4","1100KV BRUSHLESS MOTOR","","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_233_6cb29453","1100KV BRUSHLESS MOTOR MOUNT","","Tim Lines","1.0","0.0","0.0","0.0","Units",""
"__export__.product_template_78_31feb2f0","12-BEAM","J302","Tim Lines","0.21","0.23","-248.0","-426.0","Units",""
"__export__.product_template_111_7fece14f","12mm WHEEL NUT","i706","Tim Lines","1.0","0.13","6438.0","6438.0","Units",""
"__export__.product_template_8_30dff4f5","13-BEAM","J303","Tim Lines","1.15","0.23","303.0","-7.0","Units",""
