MANID, MANLAB, TIME, RAWID,RAWQTY, PARTID, PARTQTY,
1,1-Driveline,0.033,209,2,32,2,
1,1-Driveline,0.033,211,2,34,2,
2,2-Driveline,0.033,209,2,69,2,
2,2-Driveline,0.033,211,2,71,2,
3,3-Driveline,0.033,209,2,106,2,
3,3-Driveline,0.033,211,2,108,2,
4,4-Driveline,0.033,209,2,138,2,
4,4-Driveline,0.033,211,2,140,2,
5,5-Driveline,0.033,209,2,163,2,
5,5-Driveline,0.033,211,2,165,2,
6,6-Driveline,0.033,209,2,179,2,
6,6-Driveline,0.033,211,2,181,2,
7,7-Driveline,0.033,209,2,199,2,
7,7-Driveline,0.033,211,2,201,2,
8,3 inch disk,0.333,24,1,99,46,
9,Arduino Baseplate,0.5,132,1,231,30,
10,Breadboard Plate,-1,116,1,263,-1,
11,Race Car Plates,0.333,25,1,294,4,
12,Servo Plate,0.75,132,1,503,72,
13,UAV X Plates,0.75,132,1,522,8,
13,UAV X Plates,0.75,132,1,523,8,
13,UAV X Plates,0.75,132,1,569,8,
13,UAV X Plates,0.75,132,1,570,7,
14,Turntable Plates,0.75,132,1,544,80,
15,13-beam,0.333,60,56,56,56,
16,2/12 beam,0.333,60,56,68,56,
16,2/12 beam,0.333,60,56,54,56,
17,3/11 beam,0.333,60,56,105,56,
17,3/11 beam,0.333,60,56,51,56,
18,4/10 beam,0.333,60,56,137,56,
18,4/10 beam,0.333,60,56,47,56,
19,5/9 beam,0.333,60,56,162,56,
19,5/9 beam,0.333,60,56,221,56,
20,6/8 beam,0.333,60,56,178,56,
20,6/8 beam,0.333,60,56,208,56,
21,7/7 beam,0.333,60,56,198,112,
22,14-beam,0.333,60,56,58,56,
23,10-45 beam,0.2,50,56,45,56,
24,2/8-45 beam,0.2,50,28,67,28,
24,2/8-45 beam,0.2,50,28,207,28,
25,3/7-45 beam,0.2,50,28,104,28,
25,3/7-45 beam,0.2,50,28,197,28,
26,4/6-45 beam,0.2,50,28,136,28,
26,4/6-45 beam,0.2,50,28,177,28,
27,5/5-45 beam,0.2,50,28,161,56,
28,9-45 beam,0.2,50,56,220,56,
