"Status","Order Reference","Creation Date","Customer/ID","Customer","Order Lines/Product/ID","Order Lines/Product","Order Lines/Quantity","Order Lines/Delivered Quantity","Order Lines/Unit Price","Total"
"Quotation","S00083","2022-06-21 13:31:58","__export__.res_partner_211_d7eeed2b","Canutillo High School","__export__.product_product_339_f6641f2c","MOTOR 2205 - 30A ESC CCW","10.0","0.0","40.0","3053.0"
"","","","","","__export__.product_product_86_8de6e589","[J502] 2-BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_2_d9d4824c","[J503] 3-BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_87_ee629cf4","[J504] 4-BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_3_f89ceffd","[J505] 5-BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_4_691fb057","[J401] 6-BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_5_35a20cf9","[J402] 7-BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_6_9200151c","[J403] 8-BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_88_01a39803","[J404] 9-BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_7_f2fe0b29","[J405] 10-BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_90_abda7245","[J301] 11-BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_78_078246e8","[J302] 12-BEAM","100.0","0.0","0.57",""
"","","","","","__export__.product_product_8_98b493de","[J303] 13-BEAM","100.0","0.0","0.57",""
"","","","","","__export__.product_product_89_cf8874a5","[J304] 14-BEAM","100.0","0.0","0.57",""
"","","","","","__export__.product_product_10_358032fd","[J305] 15-BEAM","100.0","0.0","0.57",""
"","","","","","__export__.product_product_92_9f2df3e4","[i401] 2-45 BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_93_7def08ae","[i402] 3-45 BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_94_83a62dc5","[i403] 4-45 BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_95_b9d68d9e","[i404] 5-45 BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_96_874cfcf1","[i405] 6-45 BEAM","100.0","0.0","0.52",""
"","","","","","__export__.product_product_97_6f2154c8","[i301] 7-45 BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_98_e62b91de","[i302] 8-45 BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_99_13ed9416","[i303] 9-45 BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_100_3d2b39dd","[i304] 10-45 BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_102_098d5aca","[i305] 11-45 BEAM","100.0","0.0","0.56",""
"","","","","","__export__.product_product_106_8a13249f","[H603] 1.5-LOCK","100.0","0.0","0.54",""
"","","","","","__export__.product_product_14_82db9ef1","[H503] 2-LOCK","100.0","0.0","0.55",""
"","","","","","__export__.product_product_15_cbc3ac9a","[H604] 2-ROTATE","100.0","0.0","0.55",""
"","","","","","__export__.product_product_17_6f4be96c","[H504] 3-LOCK","100.0","0.0","0.56",""
"","","","","","__export__.product_product_107_06bd85ab","[H605] 3-ROTATE","100.0","0.0","0.56",""
"","","","","","__export__.product_product_16_1945c215","[H506] PANEL-LOCK","100.0","0.0","0.54",""
"","","","","","__export__.product_product_75_d2528b6f","[B503] MINDS-i TOOL","10.0","0.0","8.0",""
"","","","","","__export__.product_product_375_b258ba7a","[C505] SCREW ADAPTER","10.0","0.0","24.0",""
"","","","","","__export__.product_product_71_c55aef77","[B405] NIMH BATTERY","10.0","0.0","24.0",""
"","","","","","__export__.product_product_340_7da2902a","MOTOR 2205 - 30A ESC CW","10.0","0.0","37.5",""
"","","","","","__export__.product_product_634_52ae8517","Micro Continuous Rotation Servo","10.0","0.0","8.0",""
"Quotation","S00082","2022-06-06 15:16:30","__export__.res_partner_207_041e9749","Norco College/ CTE","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","4.0","0.0","2500.0","10000.0"
"Quotation","S00081","2022-06-06 11:18:40","__export__.res_partner_205_497497a0","Fulton County Career Technology","__export__.product_product_346_5ef4c8bc","6x6 (Super Rover Kit)","1.0","0.0","1200.0","5231.5"
"","","","","","__export__.product_product_379_25b00eb2","[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour)","1.0","0.0","3000.0",""
"","","","","","__export__.product_product_431_349cdf25","[MCK-FDSL-090] FOUNDATIONS CURRICULUM","1.0","0.0","556.5",""
"","","","","","__export__.product_product_403_6fd346dc","[PTT-ARD2-001] ARDUINO ROBOT","1.0","0.0","475.0",""
"Quotation","S00080","2022-06-03 15:36:42","__export__.res_partner_204_20159913","Moss - Educational and Industrial Training Solutions, Tracy Doherty","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","0.0","2500.0","3700.0"
"","","","","","__export__.product_product_346_5ef4c8bc","6x6 (Super Rover Kit)","1.0","0.0","1200.0",""
"","","","","","__export__.product_product_629_3ac6dd0c","[xxxx] Minds-i Popup Banner","1.0","0.0","0.0",""
"Sales Order","S00076","2022-05-12 11:05:47","__export__.res_partner_198_71df2553","Southview High School","__export__.product_product_214_a1946d2a","[L102B] 5000 RPM MOTOR WITH WIRE","2.0","2.0","10.5","33.64"
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","12.64",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00066","2022-05-09 16:12:10","__export__.res_partner_188_97a4a392","Northwest Technology Center","__export__.product_product_403_6fd346dc","[PTT-ARD2-001] ARDUINO ROBOT","1.0","1.0","399.0","18319.27"
"","","","","","__export__.product_product_27_51f0791a","STORAGE BIN","4.0","4.0","12.99",""
"","","","","","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","2.0","0.0","2500.0",""
"","","","","","__export__.product_product_383_1c3e2d45","[MCK-ECLB-2WD] ELECTRIC CAR LAB","1.0","1.0","625.0",""
"","","","","","__export__.product_product_461_7f8be68b","[MCK-ECSL-045] ELECTRIC CAR CURRICULUM (Digital)","1.0","1.0","596.25",""
"","","","","","__export__.product_product_429_1a37b7f3","[MCK-DRLB-MR2] DRONES LAB UGV + UAV","2.0","2.0","5375.0",""
"","","","","","__export__.product_product_430_dbe4ec99","[MCK-DRSL-090] DRONE CURRICULUM 90HR","1.0","1.0","596.25",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","300.81",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00067","2022-05-09 16:51:03","__export__.res_partner_190_ea273670","500 - Career Institute North","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","0.0","2500.0","2500.0"
"Sales Order","S00068","2022-05-11 16:53:00","__export__.res_partner_192_1a7d1e7b","Taft Union High School District","__export__.product_product_403_6fd346dc","[PTT-ARD2-001] ARDUINO ROBOT","32.0","0.0","399.0","13868.0"
"","","","","","__export__.product_product_432_698c46a5","[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE","1.0","0.0","1100.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00069","2022-05-11 17:02:04","__export__.res_partner_192_1a7d1e7b","Taft Union High School District","__export__.product_product_616_684b64e3","Misc","1.0","0.0","0.0","143.09"
"","","","","","__export__.product_product_10_358032fd","[J305] 15-BEAM","10.0","10.0","1.15",""
"","","","","","__export__.product_product_7_f2fe0b29","[J405] 10-BEAM","10.0","10.0","1.15",""
"","","","","","__export__.product_product_4_691fb057","[J401] 6-BEAM","10.0","10.0","1.15",""
"","","","","","__export__.product_product_16_1945c215","[H506] PANEL-LOCK","20.0","20.0","0.4",""
"","","","","","__export__.product_product_18_9ad28be7","[H403] 1.5-PIN","20.0","20.0","0.15",""
"","","","","","__export__.product_product_50_f659b586","[B501] MALE TO MALE SERVO LEAD","10.0","10.0","1.0",""
"","","","","","__export__.product_product_33_e6ec273f","[F707] EXTENSION PLUG","10.0","10.0","0.16",""
"","","","","","__export__.product_product_617_8830b862","TELEMETRY RADIO CABLE (PRE-2022))","5.0","5.0","14.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","15.99",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00070","2022-05-12 09:49:18","__export__.res_partner_193_5d23d50e","Montgomery College","__export__.product_product_425_faa2b301","[MCK-UASL-045] DRONE CURRICULUM 45","1.0","1.0","596.25","6342.46"
"","","","","","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","1.0","1.0","3100.0",""
"","","","","","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","1.0","2500.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","146.21",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00071","2022-05-12 09:51:33","__export__.res_partner_194_ea70cbec","Rhodes State College- SCI 515","__export__.product_product_396_c5501cd7","[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour)","2.0","2.0","2700.0","5496.66"
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","96.66",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00072","2022-05-12 09:53:01","__export__.res_partner_195_7de6d54c","Pekin Community High School","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","2.0","2.0","1300.0","2644.22"
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","44.22",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00073","2022-05-12 10:06:15","__export__.res_partner_198_71df2553","Southview High School","__export__.product_product_71_c55aef77","[B405] NIMH BATTERY","2.0","2.0","1.0","2.0"
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00074","2022-05-12 10:07:53","__export__.res_partner_199_d6f028d6","Tangram Flex","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","0.0","2500.0","2500.0"
"Sales Order","S00075","2022-05-12 10:18:35","__export__.res_partner_201_37494955","Joe Ray","__export__.product_product_516_65a25756","MINDS-i T-Shirt","2.0","2.0","15.0","173.92"
"","","","","","__export__.product_product_516_65a25756","MINDS-i T-Shirt","2.0","2.0","15.0",""
"","","","","","__export__.product_product_516_65a25756","MINDS-i T-Shirt","2.0","2.0","15.0",""
"","","","","","__export__.product_product_516_65a25756","MINDS-i T-Shirt","2.0","2.0","15.0",""
"","","","","","__export__.product_product_516_65a25756","MINDS-i T-Shirt","2.0","2.0","15.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","23.92",""
"","","","","","","","0.0","0.0","0.0",""
"Cancelled","S00077","2022-05-12 11:09:38","__export__.res_partner_200_02b8e582","Sargento Foods Inc.","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00078","2022-05-12 14:26:29","__export__.res_partner_81_93acacf3","Longview School District No. 122, LONGVIEW SCHOOL DISTRICT NO. 122 WAREHOUSE","__export__.product_product_346_5ef4c8bc","6x6 (Super Rover Kit)","9.0","0.0","840.0","8256.6"
"","","","","","__export__.product_product_142_e92ada0d","[B403] ARDUINO LEONARDO","9.0","0.0","22.4",""
"","","","","","__export__.product_product_181_11526635","[C10x] 3 Channel Radio","9.0","0.0","55.0",""
"Sales Order","S00079","2022-05-12 14:28:44","__export__.res_partner_196_7b054527","Harding High School","__export__.product_product_396_c5501cd7","[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour)","1.0","0.0","2700.0","10595.0"
"","","","","","__export__.product_product_432_698c46a5","[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE","1.0","0.0","1100.0",""
"","","","","","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","1.0","0.0","3100.0",""
"","","","","","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","0.0","2500.0",""
"","","","","","__export__.product_product_480_9c4960db","[MIC-DUL-100] WEB BASED CURRICULUM ANNUAL SUBSCRIPTION FOR TWO PRODUCTS","1.0","0.0","1195.0",""
"Sales Order","S00065","2022-05-04 10:30:38","__export__.res_partner_187_2c4ab3ac","Fontana Unified School District Warehouse","__export__.product_product_379_25b00eb2","[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour)","6.0","0.0","2100.0","14151.25"
"","","","","","__export__.product_product_481_d737f17f","[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT","1.0","0.0","746.25",""
"","","","","","__export__.product_product_432_698c46a5","[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE","1.0","0.0","805.0",""
"","","","","","","","0.0","0.0","0.0",""
