"Product","BoM Lines/Component","BoM Lines/Quantity"
"[A302] 4x4 TOOLS AND FASTENERS","[B503] MINDS-i TOOL","1.0"
"","[G305] #1 PHILLIPS SCREWDRIVER","1.0"
"","[B505] 7mm HEX DRIVER DYNAMITE","1.0"
"","[G303] 1/4"" FLAT WRENCH","1.0"
"","[G511] 1.5mm Hex Key","1.0"
"","[G510] 1/16 SHORT ARM HEX KEY","1.0"
"","[G509] 3/32 HEX KEY","1.0"
"","[E707] CABLE TIE 8""","5.0"
"","[E706] CABLE TIE 4""","10.0"
"[C501] ELECTRIC CAR BAG 1: BEAMS","[J305] 15-BEAM","2.0"
"","[J301] 11-BEAM","9.0"
"","[J405] 10-BEAM","2.0"
"","[J403] 8-BEAM","2.0"
"","[J402] 7-BEAM","7.0"
"","[J401] 6-BEAM","6.0"
"","[J505] 5-BEAM","3.0"
"","[J504] 4-BEAM","24.0"
"","[J502] 2-BEAM","4.0"
"[A705] 4mm AXLE REAR HUB","[I707] REAR WHEEL HUB","2.0"
"","[i706] 12mm WHEEL NUT","3.0"
"","[G301] 6x12x4mm BEARING","4.0"
"","[F509] M4 WHEEL END SHAFT","2.0"
"","[G408] U-JOINT SET SCREW","3.0"
"","[G505] M4 WASHER","3.0"
"","[G502] M4-0.7 NYLOCK","3.0"
"","[G512] 2.5x10mm DOWEL PIN","3.0"
"[A704] 4mm AXLE STEERING HUB","[F509] M4 WHEEL END SHAFT","2.0"
"","[i706] 12mm WHEEL NUT","3.0"
"","[G502] M4-0.7 NYLOCK","3.0"
"","[G505] M4 WASHER","3.0"
"","[G408] U-JOINT SET SCREW","3.0"
"","[G512] 2.5x10mm DOWEL PIN","3.0"
"","[G301] 6x12x4mm BEARING","4.0"
"","[i606] FRONT WHEEL KNUCKLE","2.0"
"","[i607] FRONT WHEEL HUB","2.0"
"[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour)","[M202] CORRUGATED BOXES 26x18x16""","1.0"
"","4x4","1.0"
"","STORAGE BIN","4.0"
"","[D101] TACHOMETER","1.0"
"","[D201] FUNCTION DIGITAL MULTIMETER","1.0"
"","[A401] HS-485HB SERVO (With Hardware)","3.0"
"","[B405] NIMH BATTERY","1.0"
"","[D202] 15LB TUBE SCALE","1.0"
"","[B304] 1/16"" HEX DRIVER","1.0"
"","[B303] 3/32"" HEX DRIVER","1.0"
"","[F504] INERTIA PLUG","1.0"
"","[H601] GEAR REDUCER","1.0"
"","[B401] QTI - LF PCB ASSY","4.0"
"","[B605] 3 PIN CABLE FLAT - SEPERATE","4.0"
"","[C605] SERVO LINKAGE","1.0"
"","[C505] SCREW ADAPTER","1.0"
"","[C705] ROTATING CONNECTORS","1.0"
"","[B503] MINDS-i TOOL","2.0"
"","[A501] 250 PIECE","1.0"
"","[C905] CATAPULT SUPPORT MATERIAL","1.0"
"","ARDUINO UPGRADE","1.0"
"","[D701] TGY-I6S RADIO CONTROLLER","1.0"
"4x4","[L201] CORRUGATED BOXES 18x12x6","1.0"
"","4x4 WHEELS AND TIRES","1.0"
"","[A504] 320A BRUSHED ESC","1.0"
"","[B405] NIMH BATTERY","1.0"
"","[A506] LIPO / NIMH CHARGER","1.0"
"","[A505] TAMIYA CHARGER ADAPTER","1.0"
"","[A401] HS-485HB SERVO (With Hardware)","1.0"
