Order Reference,Creation Date,Customer,Total,Order Lines/Product,Order Lines/Quantity,Order Lines/Delivered Quantity,Order Lines/Unit Price,Enter,Deliv
S00076,5/12/2022 11:05,Southview High School,33.64,[L102B] 5000 RPM MOTOR WITH WIRE,2,2,10.5,1,1
,,,,Shipping,1,0,12.64,0,0
,,,,,0,0,0,0,0
,,,,,0,0,0,0,0
S00066,5/9/2022 16:12,Northwest Technology Center,18018.46,[PTT-ARD2-001] ARDUINO ROBOT,1,0,399,1,1
,,,,STORAGE BIN,4,0,12.99,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,2,0,2500,0,0
,,,,[MCK-ECLB-2WD] ELECTRIC CAR LAB,1,0,625,0,0
,,,,[MCK-ECSL-045] ELECTRIC CAR CURRICULUM (Digital),1,0,596.25,0,0
,,,,[MCK-DRLB-MR2] DRONES LAB UGV + UAV,2,0,5375,0,0
,,,,[MCK-DRSL-090] DRONE CURRICULUM 90HR,1,0,596.25,0,0
S00067,5/9/2022 16:51,500 - Career Institute North,2500,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,0,2500,1,0
S00068,5/11/2022 16:53,Taft Union High School District,13868,[PTT-ARD2-001] ARDUINO ROBOT,32,0,399,1,0
,,,,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,1,0,1100,0,0
,,,,,0,0,0,0,0
S00069,5/11/2022 17:02,Taft Union High School District,143.09,Misc,1,0,0,1,1
,,,,[J305] 15-BEAM,10,10,1.15,0,0
,,,,[J405] 10-BEAM,10,10,1.15,0,0
,,,,[J401] 6-BEAM,10,10,1.15,0,0
,,,,[H506] PANEL-LOCK,20,20,0.4,0,0
,,,,[H403] 1.5-PIN,20,20,0.15,0,0
,,,,[B501] MALE TO MALE SERVO LEAD,10,10,1,0,0
,,,,[F707] EXTENSION PLUG,10,10,0.16,0,0
,,,,TELEMETRY RADIO CABLE (PRE-2022)),5,5,14,0,0
,,,,Shipping,1,0,15.99,0,0
,,,,,0,0,0,0,0
S00070,5/12/2022 9:49,Montgomery College,6342.46,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,596.25,1,1
,,,,[MCK-UALB-MR2] UAV DRONE LAB,1,1,3100,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,1,2500,0,0
,,,,Shipping,1,0,146.21,0,0
,,,,,0,0,0,0,0
